Startup Id,Week,# Active Connections,# Connections,# Comments Received,Total Initiated,Total Received,Pending,Accepted,Rejected/Removed,Rejected/Removed By Other
13,201239,4,14,0,0,0,0,0,0,0
28,201239,9,16,10,0,1,0,1,0,0
47,201239,6,12,6,0,0,0,0,0,0
72,201239,7,8,8,1,0,0,1,0,0
82,201239,4,9,0,0,0,0,0,0,0
91,201239,9,11,6,1,3,0,4,0,0
130,201239,2,6,2,0,1,0,1,0,0
156,201239,1,3,0,0,0,0,0,0,0
177,201239,1,5,0,0,0,0,0,0,0
186,201239,7,10,8,0,1,0,1,0,0
214,201239,2,10,4,0,0,0,0,0,0
281,201239,2,10,0,0,0,0,0,0,0
317,201239,10,32,4,0,0,0,0,0,0
319,201239,5,12,16,0,1,0,1,0,0
388,201239,2,8,3,2,3,0,3,0,0
450,201239,9,19,5,0,0,0,0,0,0
459,201239,0,1,0,0,0,0,0,0,0
497,201239,3,11,2,0,0,0,0,0,0
516,201239,4,8,1,0,0,0,0,0,0
518,201239,3,7,1,0,0,0,0,0,0
534,201239,4,8,5,0,0,0,0,0,0
543,201239,3,7,1,0,0,0,0,0,0
561,201239,2,7,0,0,0,0,0,0,0
581,201239,1,7,2,0,2,0,1,0,0
584,201239,5,10,2,0,0,0,0,0,0
585,201239,1,4,1,0,0,0,0,0,0
593,201239,2,5,1,0,0,0,0,0,0
612,201239,8,19,3,0,0,0,0,0,0
616,201239,5,10,5,1,0,0,1,0,0
624,201239,3,10,0,0,0,0,0,0,0
646,201239,2,6,0,0,0,0,0,0,0
651,201239,6,11,1,0,1,0,1,0,0
658,201239,3,5,0,0,0,0,0,0,0
678,201239,4,10,1,0,0,0,0,0,0
680,201239,3,15,4,0,0,0,0,0,0
777,201239,3,3,1,0,0,0,0,0,0
793,201239,3,9,2,0,2,0,2,0,0
845,201239,0,0,0,0,0,0,0,0,0
848,201239,4,6,7,0,1,0,1,0,0
852,201239,4,5,6,0,0,0,0,0,0
855,201239,5,6,0,0,0,0,0,0,0
859,201239,5,7,5,1,0,0,1,0,0
870,201239,0,0,0,0,0,0,0,0,0
888,201239,5,7,5,1,1,0,2,0,0
901,201239,3,4,0,0,0,0,0,0,0
906,201239,6,8,6,0,0,0,0,0,0
923,201239,2,4,11,0,0,0,0,0,0
937,201239,5,7,9,1,3,1,3,0,0
938,201239,1,4,1,0,0,0,0,0,0
957,201239,7,11,5,0,0,0,0,0,0
963,201239,1,1,0,0,2,0,1,0,0
974,201239,3,4,4,0,0,0,0,0,0
982,201239,4,4,2,0,1,0,1,0,0
985,201239,4,4,2,0,0,0,0,0,0
987,201239,6,7,9,0,0,0,0,0,0
996,201239,3,4,7,0,0,0,0,0,0
1001,201239,4,4,0,0,0,0,0,0,0
1020,201239,4,4,0,0,0,0,0,0,0
1029,201239,7,7,8,2,0,0,1,1,0
1035,201239,3,3,0,0,0,0,0,0,0
1036,201239,1,3,3,0,1,0,0,0,0
1046,201239,3,3,3,0,0,0,0,0,0
1047,201239,4,9,2,0,0,0,0,0,0
1135,201239,2,2,4,1,0,0,1,0,0
1144,201239,1,1,0,0,0,0,0,0,0
1149,201239,1,1,0,0,0,0,0,0,0
1151,201239,0,0,0,0,0,0,0,0,0
1154,201239,2,3,5,2,0,0,1,1,0
1158,201239,7,12,8,1,2,0,2,0,0
1180,201239,2,6,3,0,1,0,0,0,0
1182,201239,2,5,3,0,0,0,0,0,0
1222,201239,3,5,1,0,0,0,0,0,0
1224,201239,1,5,3,1,3,0,2,0,0
1234,201239,1,3,1,0,2,0,1,0,0
1236,201239,2,5,3,2,1,0,3,0,0
13,201240,5,14,1,0,0,0,0,0,0
28,201240,10,16,7,0,0,0,0,0,0
47,201240,7,12,0,0,0,0,0,0,0
